slug,url,other_url
2016-01-25-Utrecht,https://github.com/esciencecenter-digital-skills/essential-skills-25-01-2016-Utrecht,http://mkuzak.github.io/2016-01-25-Utrecht/
2017-09-07-Xenon-RSE2017,https://rse.ac.uk/conf2017/,https://xenonrse2017.readthedocs.io/en/latest/
2017-09-08-Utrecht,https://esciencecenter-digital-skills.github.io/2017-09-06-git-github/,https://esciencecenter-digital-skills.github.io/2017-09-07-shell-automation/
2017-11-06-Utrecht,https://esciencecenter-digital-skills.github.io/2017-11-06-research-data-handling/,
2018-01-23-Wageningen,https://esciencecenter-digital-skills.github.io/2018-01-23-wageningen/,https://github.com/jhidding/stability
2018-04-20-Amsterdam,https://esciencecenter-digital-skills.github.io/2018-04-20-Amsterdam/,https://esciencecenter-digital-skills.github.io/2018-04-19-Amsterdam/
2018-06-25-Exeter,https://github.com/esciencecenter-digital-skills/2018-06-25-UK-MetOffice-Summer-school,
2018-07-02-CLARIAH,https://clariah.github.io/mediasuite-blog/blog/2018/02/16/CLARIAH-summer-school,https://twitter.com/lilimelgar/status/1014818016201269249
2018-08-29-BQMinded,https://esciencecenter-digital-skills.github.io/2018-08-29-BQMinded/,https://blog.esciencecenter.nl/want-to-organize-a-workshop-on-image-processing-5727d2347de2
2018-09-18-Utrecht,https://esciencecenter-digital-skills.github.io/2018-09-18-Utrecht/,https://carpentries.org/
2019-05-22-SURF-Amsterdam,https://www.surf.nl/en/news/new-series-of-computational-skills-workshops,https://sara-nl.github.io/2019-05-22-GoodPracticesHPCCloud/
2019-05-29-CSS-Amsterdam,https://cssamsterdam.github.io/,https://zenodo.org/record/3233889
2019-09-10-SURF-Amsterdam,https://www.surf.nl/en/news/new-series-of-computational-skills-workshops,https://sara-nl.github.io/2019-09-10-GoodPracticesMachineLearning/
2019-09-13-Xenon-DTL,https://docs.google.com/document/d/1D-xBb7Vqiv-qPUgL_8uze1Yx0wbBcyFSZxLSf49SGyk,https://xenon-tutorial.readthedocs.io/en/latest/
2019-10-01-SURF-Utrecht,https://www.surf.nl/en/news/new-series-of-computational-skills-workshops,https://sara-nl.github.io/2019-10-01-GoodPracticesPython/
2019-10-08-Amsterdam,https://esciencecenter-digital-skills.github.io/2019-10-08-Amsterdam/,
2019-10-10-NSO,https://github.com/esciencecenter-digital-skills/2019-10-10-NSO-Symposium,
2019-10-22-MARIN,https://www.marin.nl,https://swcarpentry.github.io/git-novice/
2019-11-06-SURF-Utrecht,https://www.surf.nl/en/news/new-series-of-computational-skills-workshops,https://sara-nl.github.io/2019-11-06-Reproducibility/
2019-12-04-Rijkzwaan,,
2020-01-20-ML-workshop,https://blog.esciencecenter.nl/workshop-machine-learning-for-research-2020-39c4fc8218e8,
2020-02-11-ROR-Utrecht,https://esciencecenter-digital-skills.github.io/2020-02-11-Reproducible-and-Open-Research/,
2020-04-14-SWC-online,https://esciencecenter-digital-skills.github.io/2020-04-14-SWC-online/,
2020-05-27-fair-software-cmbi,https://esciencecenter-digital-skills.github.io/2020-05-27-fair-software-cmbi/,
2020-07-30-cchome-fair-software,https://esciencecenter-digital-skills.github.io/2020-07-30-cchome-fair-software/,
2020-09-08-4TU-FAIR-software,https://esciencecenter-digital-skills.github.io/2020-09-08-4tu-fair-software/,
2020-09-16-PBL-Python,https://esciencecenter-digital-skills.github.io/2020-09-16-PBL/,
2020-09-21-SWC-R-gapminder,https://esciencecenter-digital-skills.github.io/2020-09-21-SWC-Gapminder/,
2020-10-19-DC-Social-Sci,https://esciencecenter-digital-skills.github.io/2020-10-19-Data-Carpentry-with-R/,
2020-11-16-Code-Refinery,https://esciencecenter-digital-skills.github.io/2020-11-16-code-refinery/,
2020-12-07-Parallel-Python,https://esciencecenter-digital-skills.github.io/2020-12-07-parallel-python/,
2021-03-08-Software-Carpentry-Python,https://esciencecenter-digital-skills.github.io/2021-03-08-swc-nlesc/,
2021-03-23-Containers,https://esciencecenter-digital-skills.github.io/2021-03-23-containers/,
2021-03-29-Code-Refinery,https://esciencecenter-digital-skills.github.io/2021-03-29-code-refine/,
2021-04-12-Parallel-Python,https://esciencecenter-digital-skills.github.io/2021-04-12-parallel-python/,
2021-04-19-Data-Carpentry-Python,https://esciencecenter-digital-skills.github.io/2021-04-19-dc-python-nlesc//,https://3zpb11r.momice.events/page/854828
2021-05-17-swc-R-nlesc,https://esciencecenter-digital-skills.github.io/2021-05-17-swc-R-nlesc/,https://2aksjfk.momice.events/page/860397
2021-06-02-GPU Programming,https://esciencecenter-digital-skills.github.io/2021-06-02-gpu/,
2021-06-14-conda,https://esciencecenter-digital-skills.github.io/2021-06-14-conda/,
2021-06-29-Parallel-Python,https://esciencecenter-digital-skills.github.io/2021-06-29-parallel-python/,
2021-07-05-deep-learning,https://esciencecenter-digital-skills.github.io/2021-07-05-deep-learning/,
2021-09-06-swc-py-nlesc,https://esciencecenter-digital-skills.github.io/2021-09-06-swc-gapminder-python-nlesc/,
2021-09-13-containers,,
2021-10-04-Code-Refinery,https://esciencecenter-digital-skills.github.io/2021-10-04-ds-cr/,
2021-10-04-ds,https://esciencecenter-digital-skills.github.io/2021-10-04-ds-cr/,
2021-10-18-dc-socsci-R-nlesc,https://esciencecenter-digital-skills.github.io/2021-10-18-dc-socsci-R-nlesc/,
2021-11-02-GPU-programming,https://esciencecenter-digital-skills.github.io/2021-11-02-ds-gpu/,
2021-11-10-ds-parallel,https://esciencecenter-digital-skills.github.io/2021-11-10-ds-parallel/,
2021-11-22-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2021-11-22-ds-dl-intro/,
2021-12-06-dc-socsci-python-nlesc,https://esciencecenter-digital-skills.github.io/2021-12-06-dc-socsci-python-nlesc/,
2022-01-11-ds-parallel,https://esciencecenter-digital-skills.github.io/2022-01-11-ds-parallel/,
2022-01-25-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2022-01-25-ds-dl-intro/,
2022-02-08-ds-gpu,https://esciencecenter-digital-skills.github.io/2022-02-08-ds-gpu/,
2022-02-14-ds-cr,https://esciencecenter-digital-skills.github.io/2022-02-14-ds-cr/,
2022-03-07-dc-astronomy,https://esciencecenter-digital-skills.github.io/2022-03-07-dc-astronomy/,
2022-03-22-ds-rpackaging,https://esciencecenter-digital-skills.github.io/2022-03-22-ds-rpackaging/,
2022-04-06-ds-docker,https://esciencecenter-digital-skills.github.io/2022-04-06-ds-docker/,
2022-05-11-ds-gpu,https://esciencecenter-digital-skills.github.io/2022-05-11-ds-gpu/,
2022-05-17-ds-parallel,https://esciencecenter-digital-skills.github.io/2022-05-17-ds-parallel/,
2022-05-30-dc-socsci-python-nlesc,https://esciencecenter-digital-skills.github.io/2022-05-30-dc-socsci-python-nlesc/,
2022-06-21-ttt-nehterla,https://esciencecenter-digital-skills.github.io/2022-06-21-ttt-netherlands/,
2022-09-14-ds-rpackaging,https://esciencecenter-digital-skills.github.io/2022-09-14-ds-rpackaging/,
2022-09-26-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2022-09-26-ds-dl-intro/,
2022-10-10-ds-parallel,https://esciencecenter-digital-skills.github.io/2022-10-10-ds-parallel/,
2022-11-02-ds-gpu,https://esciencecenter-digital-skills.github.io/2022-11-02-ds-gpu/,
2022-11-21-dc-geospatial,https://esciencecenter-digital-skills.github.io/2022-11-21-dc-geospatial/,
2022-11-28-wdcc-git,https://esciencecenter-digital-skills.github.io/2022-11-28-wdcc-git/,
2022-12-05-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2022-12-05-ds-dl-intro/,
2022-12-12-ds-cr,https://esciencecenter-digital-skills.github.io/2022-12-12-ds-cr/,
2023-01-25-ds-python-rivm,https://esciencecenter-digital-skills.github.io/2023-01-25-ds-python-rivm/,
2023-01-30-ds-sklearn,https://esciencecenter-digital-skills.github.io/2023-01-30-ds-sklearn/,
2023-03-08-ds-rpackaging,https://esciencecenter-digital-skills.github.io/2023-03-08-ds-rpackaging/,
2023-03-21-ds-intermediate-python,https://esciencecenter-digital-skills.github.io/2023-03-21-ds-intermediate-python/,
2023-03-29-dc-astronomy-python-astron,https://esciencecenter-digital-skills.github.io/2023-03-29-dc-astronomy-python-astron/,
2023-04-03-ds-parallel,https://esciencecenter-digital-skills.github.io/2023-04-03-ds-parallel/,
2023-04-18-ds-gpu,https://esciencecenter-digital-skills.github.io/2023-04-18-ds-gpu/,
2023-05-08-ds-geospatial-python,https://esciencecenter-digital-skills.github.io/2023-05-08-ds-geospatial-python/,
2023-05-23-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2023-05-23-ds-dl-intro/,
2023-04-03-ds-dl-intro-caa,https://esciencecenter-digital-skills.github.io/2023-04-03-ds-dl-intro-caa/,
2023-04-04-ds-fair-smp-advanced-python-UvA,https://esciencecenter-digital-skills.github.io/2023-04-04-ds-fair-smp-advanced-python-UvA/,
2023-05-09-ds-cr-tusail,https://esciencecenter-digital-skills.github.io/2023-05-09-ds-cr-tusail/,
2023-06-05-dc-image-processing,https://esciencecenter-digital-skills.github.io/2023-06-05-dc-image-processing/,
2023-06-19-ds-cr,https://esciencecenter-digital-skills.github.io/2023-06-19-ds-cr/,
2023-06-20-ds-sklearn-odissei,https://esciencecenter-digital-skills.github.io/2023-06-20-ds-sklearn-odissei/,
2023-07-04-ds-parallel,https://esciencecenter-digital-skills.github.io/2023-07-04-ds-parallel/,
2023-08-21-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2023-08-21-ds-dl-intro/,
2023-06-28-WDCC-git,https://esciencecenter-digital-skills.github.io/2023-06-28-WDCC-git/,
2023-09-20-ds-rpackaging,https://esciencecenter-digital-skills.github.io/2023-09-20-ds-rpackaging/,
2023-10-03-ds-cr,https://esciencecenter-digital-skills.github.io/2023-10-03-ds-cr/,
2023-10-10-ds-geospatial-python,https://esciencecenter-digital-skills.github.io/2023-10-10-ds-geospatial-python/,
2023-11-06-ds-gpu,https://esciencecenter-digital-skills.github.io/2023-11-06-ds-gpu/,
2023-11-28-ds-sklearn,https://esciencecenter-digital-skills.github.io/2023-11-28-ds-sklearn/,
2023-12-11-ds-intermediate-python,https://esciencecenter-digital-skills.github.io/2023-12-11-ds-intermediate-python/,
2023-11-14-ds-cr-TUEindhoven,https://esciencecenter-digital-skills.github.io/2023-11-14-ds-cr-TUEindhoven/,
2023-11-28-research-software-support,https://esciencecenter-digital-skills.github.io/2023-11-28-research-software-support/,
2024-02-05-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2024-02-05-ds-dl-intro/,
2024-02-26-ds-cr,https://esciencecenter-digital-skills.github.io/2024-02-26-ds-cr/,
2024-03-11-dc-image-processing,https://esciencecenter-digital-skills.github.io/2024-03-11-dc-image-processing/, 
2024-03-19-ds-parallel,https://esciencecenter-digital-skills.github.io/2024-03-19-ds-parallel/,
2024-04-08-ds-cr,https://esciencecenter-digital-skills.github.io/2024-04-08-ds-cr/,
2024-04-15-ds-intermediate-python,https://esciencecenter-digital-skills.github.io/2024-04-15-ds-intermediate-python/,
2024-04-22-ds-sklearn,https://esciencecenter-digital-skills.github.io/2024-04-22-ds-sklearn/,
2024-05-13-ds-geospatial,https://esciencecenter-digital-skills.github.io/2024-05-13-ds-geospatial/,
2024-05-28-ds-git,https://esciencecenter-digital-skills.github.io/2024-05-28-ds-git/,
2024-06-03-dc-socsci-python-odissei,https://esciencecenter-digital-skills.github.io/2024-06-03-dc-socsci-odissei/,
2024-06-10-ds-gpu,https://esciencecenter-digital-skills.github.io/2024-06-10-ds-gpu/,
2024-06-18-ds-sklearn-odissei,https://esciencecenter-digital-skills.github.io/2024-06-18-ds-sklearn-odissei/,
2024-05-13-ds-intermediate-python-UvA,https://esciencecenter-digital-skills.github.io/2024-05-13-ds-intermediate-python-UvA/,
2024-06-13-ds-git-WUR,https://esciencecenter-digital-skills.github.io/2024-06-13-ds-git-WUR/,
2024-07-02-ds-cr-TNO,https://esciencecenter-digital-skills.github.io/2024-07-02-ds-cr-TNO/,
2024-07-30-ds-git-Erasmus MC,https://esciencecenter-digital-skills.github.io/2024-07-30-ds-git-Erasmus MC/,
2024-09-03-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2024-09-03-ds-dl-intro/,
2024-09-16-dc-image-processing,https://esciencecenter-digital-skills.github.io/2024-09-16-dc-image-processing/,
2024-09-18-ds-medical-imaging,https://esciencecenter-digital-skills.github.io/2024-09-18-ds-medical-imaging/,
2024-09-24-ds-intermediate-python,https://esciencecenter-digital-skills.github.io/2024-09-24-ds-intermediate-python/,
2024-10-08-ds-sklearn,https://esciencecenter-digital-skills.github.io/2024-10-08-ds-sklearn/,
2024-10-22-ds-cr,https://esciencecenter-digital-skills.github.io/2024-10-22-ds-cr/,
2024-10-29-ds-git-Radboud,https://esciencecenter-digital-skills.github.io/2024-10-29-ds-git-Radboud/,
2024-11-05-ds-cr-Hybridlabs,https://esciencecenter-digital-skills.github.io/2024-11-05-ds-cr-Hybridlabs/,
2024-11-25-ds-intermediate-python-TNO,https://esciencecenter-digital-skills.github.io/2024-11-25-ds-intermediate-python-TNO/,
2024-11-26-ds-parallel-python,https://esciencecenter-digital-skills.github.io/2024-11-26-ds-parallel-python/,
2024-12-03-ds-GPU,https://esciencecenter-digital-skills.github.io/2024-12-03-ds-GPU/,
2024-12-09-ds-git-WECR,https://esciencecenter-digital-skills.github.io/2024-12-09-ds-git-WECR/,
